,content
203,- here's one on Hexagram 31: http://wiching.wordpress.com/2013/05/06/yi-jing-iching-esagramma-31/Google Translate does a good enough job to make this perfectly readable - and it's good.
204,"I hope this  shameless plug is acceptable for posting.After years of prototyping and modifications, the first generation of Yi Dao circlets are now available for sale at my Etsy store:http://www.etsy.com/shop/AmaranthBeadsThe Yi Dao circlet is a set of meditation beads inspired by the mala of Buddhist and Hindu cultures and the prayer beads and worry beads of other cultures. It has a 'tower' representing Tai Qi, Si Xiang and Ba Gua, and 64 beads, one for each hexagram. The document that accompanies the beads and discusses Yi Dao (the Path of the Yi Jing, or Easy Path), and the use of the beads in meditation is too large to attach here, so please email me directly if you would like a copy.Please note, there are several kinds of circlets available. All of the ones currently on sale have identical or matching stones at the end of each row. I am placing some of the new circlets in the store soon. This new design of circlet has seven different stones at the row ends (with the eight row end a normal sized stone). I can also create custom circlets using your own beads as long as they are within a certain range of sizes and of a material that stands up under use.Regards,Chris Gait"
205,"Hi,I have a question about the hexagram lookup table that appears in the Richard Wilhelm translation of the I Ching. The Wikipedia (http://en.wikipedia.org/wiki/I_Ching) hexagram lookup table uses the same sequence as Wilhelm, but the Wilhelm translation makes no mention of why the arrangement was chosen. The upper and lower trigrams do not follow either the Fu Xi (Qian, Xun, Kan, Gen, Kun, Zhen, Li, Dui) or King Wen (Li, Kun, Dui, Qian, Kan, Gen, Zhen, Xun) trigram sequences, and instead are Qian, Zhen, Kan, Gen, Kun, Xun, Li, Dui, which is similar to Fu Xi except that Xun and Zhen are switched. Does anyone know why this sequence of trigrams was chosen for the lookup table, and whether it is unique to the Richard Wilhelm translation? Is it useful?Thanks,Brian"
206,"Is anyone familiar with RGH Siu's The Portable Dragon? I get the sense that hes' trying to get across the general description and feeling of each hexagram, but as far as I can tell (maybe I'm overlooking something very obvious) he's not discussing the lines at all."
207,"More on that ‘Radical Change at the Well’ reading soon, I promise. But first… Please will you do me a big favour and take this survey? Some background… I store a list of my readings on the computer. It’s tremendously helpful – it means that when I think, ‘Oh, hexagram 19, didn’t I get that a couple of months ago…?’ or even, ‘Wait, haven’t I already asked something like this?’ I can run a quick search and find the answer. It makes it that much easier for me to get the message and keep it in mind – carry it with me so that it makes a difference. Which, after all, is the point. Only then there are dreams, and sometimes I might pick a rune out of a bag or pick a book off the shelf at random, and what about the weirdly synchronistic thing I heard when I turned on the radio last night, and the meetings of goldfinches outside my window? I do my best to write these down, too, and keep track, and not lose sight of the overall themes and messages. But wouldn’t it be brilliant to have one place for it all – not just to write it down, but to find half-remembered things and see at a glance the unifying themes that I’d somehow missed? Well… I thought so… and to my complete delight, Justin Farrell (author of a excellent Yijing journal program) is prepared to create the software to do it: a journal software where you store all these things, and can review them via search or tag cloud. He just needs to know whether anyone else would buy it. So actually I have two requests. First, please take the survey! And second, do you know people who are not so Yijing-oriented, who wouldn’t be reading this blog, but who might be interested in software for some combination of dreams, synchronicities, tarot, runes and astrology? If so, could you forward them the link? Here it is to copy and paste – http://www.onlineclarity.co.uk/journalsurvey.phpThank you! (By the way… there is a prize draw as a ‘thank you’ for doing the survey – nothing huge, but a free copy of the finished software, and a £20 Amazon gift voucher.)"
208,"I’ve been very quiet lately – busy preparing to upgrade all the software that runs Clarity. Now it’s time to take the plunge and run the upgrades. While the upgrades are running, some things – the forum, shop and anything you log in to – won’t work. They’ll close on Monday morning, and if all goes well they should be back within the week. For more information, and an email list that’ll provide more detailed updates, see this page. Thanks in advance for your patience!"
209,A pdf you can download here:http://www.yjcn.nl/wp/the-yijing-as-oracle-bones-sidekick-a-study-of-heng-亨/(I've only just started reading - I just assume it's going to be eye-opening.)
210,"This is a wonderful informative website -Gnostic i ching is a section devoted to i ching.Astounding information, astonishing amount of information on each hexigram and moving lines.There you go ."
211,"I received this email from Betina Wilhelm today.""The DVD of ""Wisdom of Changes"" finally has a release-date in the US, March 19th.It can be purchased f.e. via Amazon.com.""- LL"
212,"Is this I Ching news? I happened to Google 'plastromancy' and came acrosshttp://plastromancy.com/It says:Plastromancy.com’s iChing + Lambdoma Music Therapy Software January 13th, 2013    Plastromancy.com is a music therapy desktop application for Mac OS X (Intel).What is i-ching lambdoma? I-Ching Lambdoma is a culmination of over 10 years of research into  sound-induced experiential expansion, resulting in the past, present and  future richness of the human experience. With the advent of modern computational aural technology, we as  people have been able to discover experiential learning at our  fingertips. What many of us need is a way to initiate a conversation with our inner vision. Plastromancy.com’s iChing Lambdoma is that layer in which we can  experience thought, meaning, spirituality, duality, dimensionality  inside and out, in a synesthetic way.Click to expand..."
213,This new book is available at Amazon.com and other sites.A sample of the book can be downloaded at:http://yijingdao.orgThere is a Spanish version available as well: YiJing (I Ching) Diccionario de caracteres chinos con concordancia y traducción.
214,http://www.biroco.com/yijing/wilhelm.htmSergio
215,"Tomorrow is the Mayan beginning of the 5126 year cycle, the 14th B'ak'tun, unless the alternative counting method gives us Sunday instead. This change is probably more significant than is reckoned by the skeptics, but in any event it is the first day of the winter of 2013. For those of you who follow the 6 phase annual gua method that I have articulated elsewhere, this is the first day of the new gua that will unfold throughout 2013.If you have determined the gua, tomorrow the first line will become active and remain active until February 18th of 2013, when fate will transition to the second line. This is a reminder to contemplate that first line, absorb its iconography, take to heart its advice, and prepare. Let the image guide your behavior, the judgment guide your prognostication, and the line drive your insights and actions.Regardless of what the significance of the Mayan rollover of the long count, the I Ching will function, because it is part of nature, human nature, and human civilization. Even if one accepts the idea of cataclysm, one's role in it would be clearly defined by the I. If the cataclysm does not materialize, it changes nothing as far as using the book to apprehend, accept, and follow the Tao."
216,"For readers of Russian (Peter, you there?), there is a new book out which is said to 'prove that hexagrams’ order existing in The Book of Change is a solely correct  one and that it is obeys the Luo-shu “magic” square mathematical law.' Its authors, Gennadij Fomyuk and Elena Kudina, emailed me from Kiev with this description and promise of an English version, and also said you could download the Russian version from their sites, http://gennadij-fomyuk.narod.ru/index.html and http://arbuz.uz/s_kniga.html  ."
217,"Scott Davis, a good friend that hosted my son for a few days in Miyazaki Japan last year, has a new book on the Yijing to be released in the next few days.Congratulations Scott!"
218,"Every now and then I visit Amazon, search for 'I Ching' and 'books', and sort by publication date. My last search brings up quite a crop that are just out, or due out over the next few weeks and months. Some of the titles sound promising; few have any description. Any thoughts/ comments/ expectations for any of these? - The I Ching Workbook, Roger Green- The I Ching: The Book of Chance and Change, Tom Leworthy - Fathoming the Cosmos and Ordering the World: The Yijing (I-Ching, or Classic of Changes) and Its Evolution in China (Richard Lectures), Richard J. Smith (note to self: buy it)- The I Ching: Points of Balance and Cycles of Change,Peggy Jones- Simply I Ching, Kim Farnell- The Women's I Ching,Sarah Denning - Whole Heart of I Ching: The Complete Teachings from the Chinese Book of Changes, John Bright-Fey- Tao I Ching: The Mystic Gateway, Tom W.A. Leworthy"
219,"Hi all,I've just opened a new board about the Yijing, entirely in italian language.It's called ""Noi e il Mutamento"" and you can find it at www.noieilmutamento.net.It includes many different forums, for: sharing readings, sharing experiences, in-depth yijing study, relations between yijing and any field of human knowledge and life, news from the world and more.All italian speaking people are welcome!"
220,"Here - have a look at this:http://www.ichinglivingchange.org/A link for consultations, and bucketloads of papers and articles available for free. Time to create a 'Karcher' folder on the hard drive..."
221,"For those who read my post on Another Method, describing the use of the I Ching by divining a year for a hexagram and attributing one line for each two astro signs, starting at the winter solstice ( yes, it is highly specific) - We are now in the 5th line of the year.  It began on August 21 and will end on October 21st. Example - year of peace - 11. Peace is about the mixture of the high and the low. Such mixture is advantageous.  During this fifth line, phase, I needed to move some furniture.  I was introduced to a sterling elder Mexican American gentleman who loaned me out of the goodness of his heart his truck at no cost.  What a great old 1989 Silverado truck with over 200,000 miles on it.This simple man loaned me his truck while he was at church on two Sundays, where he was a leader in his community. The second Sunday his brakes failed and he and I rebuilt the left rear brake assembly, which was it tuns out of great help to him.  All went well - the mixture of high and low, and the move was indeed very successful.This is what I enjoy, watching the lines coming true, month after month, year after year.Best To allLe Cubiste:bows:"
222,"- from Harmen Mesker, no less. You can browse the cards here, and purchase them from here."
223,http://www.biroco.com/yijing/deciphered.htmSergio
224,"More about time in the Yi Jing and commentaries and yet no trace of the future....http://www.biroco.com/yijing/Tracing_time_Yizhuan.pdfOf course, from Mr. Marshall's extensive archives. Hard to leave no stone unturned...Sergio"
225,"I have written a piece on the Universality of the I Ching. I decided to post this because it is such a fundamental question. The post is too much to put here so if you are interested, you can link to it at http://www.lecubiste.wordpress.com. Please feel free to direct questions to me here, though emailing is good too.Best to All,Neil Sinclair"
226,"This is a really interesting book about applications of I Ching concepts in military strategy, and Baguazhang the internal martial art with roots in the great classic. This can also be extended into strategies for everyday conflicts on a personal level. Of particular interest are his expositions on Chu Ko Liang's arrays in military campaigns. Although useful in a long term conflict this material seems to me quiete useless in hand to hand combat where the dynamics of the situation demands quick reactions rather than planification (unless you are a professional and it is still of relative help in here too) However, interesting reading indeed showcasing yet another facet of the great book.http://www.amazon.com/Strategy-Change-Examination-Military-I-Ching/dp/1432750550Sergio"
227,Interesting book on the I Ching by Alberto Ramon ( plus blog)http://thelogicofchance.com/book-on-i-ching-interpretation/Sergio
228,"At Steve Marshall's site.The Maqian keI've just put up a translation and commentary by Steve Moore of the Maqian ke  [PDF], a curious prophetic text attributed to Zhuge Liang incorporating  hexagrams. This monograph was originally intended to be the third in  the occasional series of 'Oracle Papers', but it is being published for  the first time on Yijing Dao instead. (The first 'Oracle Paper', again by Steve Moore, is also available on the site: Structural Elements in the King Wen Sequence of Hexagrams [PDF]).    It's been a while since the last update, but the links page is always being added to, in case you haven't checked it out for some time.Click to expand..."
229,"My all-time most wonderful tool is Wenlin. The complete Yi is in it, and many other texts, and pointing at a character is enough to translate the Chinese to English. Clicking on it gives the OB character, and a lot of other information. That is not the only thing it can do, but for me it is the most important one. Find out all about this new version 4This morning I got a mail, that it costs only $99 for a limited time. I never advertise anything, but this one is an exception. This is the upgrade: To take advantage of this offer,  please go to www.wenlinshangdian.com. At the  end of your order, please enter in the discount code: ER39ug4. This will bring  your purchase price to $39 USD per upgrade copy.Or the complete version: The regular retail price is $179 but for a short time I’m extending the purchase  price of $99. If you’d like to take advantage of this offer (or share it with  your peers), please go to www.wenlinshangdian.com and  place your order. The discount code for the Wenlin full version is  ER4intL99. (The ""I"" is Elisabeth Ranhjan from Wenlin)http://guide.wenlininstitute.org/wiki/What_is_New_in_Version_Four"
230,"Dear Group;There are four new articles available at the Center for Zhouyi and Ancient Chinese Philosophy, particularly an excellent one from Prof. Liu Da Jun.Enjoy.http://zhouyi.sdu.edu.cn/english0/index.aspSergio"
231,"Over at http://www.ichingoracle.com/, Carol Anthony's new book, 'I Ching, the Oracle of the Cosmic Way', is available to pre-order (with a modest offer of reduced postage). There's also a sample from the book , Hexagram 3, which I think must give a very clear flavour of the whole. Any comments?"
232,"I just discovered this site and am impressed by the resources it contains. I am an avid student of the book, and have labored over the deeper mysteries within it for decades. I have written a piece on a use of it that I have made that as far as I have read thus far is unique, though of course there is a great deal out there that may prove me wrong about that.http://lecubiste.wordpress.com/2012...ogy-with-the-chinese-book-of-changes-i-ching/Hope it helps.Neil"
233,"Julio Irvina has kindly offered his work to members of this community:The TAO for CEOS and investors(That's a direct link to the pdf, so right-click to download.This is a Yijing with interpretations and copious real-life examples for management and investors."
234,"I may be the last person to get this bit of 'news', buthttp://yijingnotes.wordpress.comis a fantastic resource for links to Yi-related downloads."
235,"... by Carol K Anthony. Has anyone read this book? I'm interested in buying it, but I'd really appreciate some feedback if anyone's familiar with it! Also, being interested in the I Ching from a Jungian perspective, does anyone use Peggy Jones' ""Points of Balance and Cycles of Change"" interpretation?Last edited: Apr 30, 2012"
236,my e mail address is meerkats64@hotmail.co.uk i have already shared my i ching zip folder with hilary barrett and peterg online clarity members if you want to be able to understand alex chiu examples then e mail me asking for i ching zip folder eg cn=dragon yo=rooster k=offspring/bodyguard star etc i ll also throw in numerology folder my username is meerkats64 tell all i ching online clarity members to e mail me for it i happy to share my insights with as many people as possible who want it i used authentic i ching page 134 & the book of changes by richard wilhelm for itit is in your best interest to have my i ching zip folder so if you reading this ask for it and you will get it asap=as soon as possibletodays date=27 october 2011 14.55pm
237,"The Power of the I Ching: Advanced Seminar with Mary MillerSaturday, May 5, 2012 1:00pHoliday Inn and Conference Centre (Burlington Conference Centre)Melville, NYClick to expand...http://www.zvents.com/melville_ny/e...the-i-ching-advanced-seminar-with-mary-millerGoogle just found this for me, so I explored further. Here - http://www.theginstore.com/category_s/55.htm - are the 'I Ching System instruments' of which you must own at least one to participate in the seminar."
238,"Hello everybody;I am not sure whether this excellent paper by Mr. Smith has already been posted. Here it is anyway. Highly recommend reading, of course...http://chaocenter.rice.edu/uploadedFiles/Chao_Center/Yijing/Yijing terminology paper 2011.pdfCourtesy of Steve Marshall's site, once again....Sergio"
239,"Hi,I have updated the Yi Jing - Book of Changes app for the iPad. Here is a partial screen shot:The app has 3 key characteristics: * a question oracle* an integrated journal* multiple book translationsIn addition to supporting manual hexagram entry, a 3-coin oracle, and ""quick"" (one-tap), we've added a 4-coin oracle and a yarrow stalk oracle. The yarrow stalk oracle shows you how to perform the actual yarrow stalk divination—it's not just a click-once thing.The integrated journal supports editing questions with notes, sorting by topic, hexagram or date, a search feature, and access to a growing number of book translations. The journal separates out the present, changing lines and future (or context) hexagram readings. In addition, you can access the four component trigrams, and related hexagrams (opposite, inverse, reverse, and mutual/nuclear). In addition to a handful of translations included with the app (including Richter's pinyin/gloss and Carol K. Anthony's ""A Guide to the I Ching""), we now have in-app purchase options, ""I Ching Workbook"" by R.L. Wing, and ""The I Ching or Book of Changes"" by Richard Wilhelm and Cary F. Baynes (US and Canada only, a publishing restriction), and the complete ""I Ging das Buch der Wandlungen"" by Richard Wilhelm in German. It's really easy to switch between translations while viewing the journal.The app is also localized in 8 languages: English, German, Dutch, French, Spanish, Portuguese, Japanese and of course, Chinese (both traditional and modern).More info can be found on my web site here:http://www.flatearthstudio.com/Apps/Apps.htmlI'm working on adding some new book translations, which are coming soon.Let me know what you think of it, and if there's anything I should add or improve.- Brian"
240,"I still owe Richard Bertschinger a review of his new Yijing. Mea culpa. But I can at least let you know about this:Stepping on the tail of the tiger: an introduction to the YijingThis is 'an energy workshop on the Yijing' for people to discover the trigrams and 'practice methods of walking, breathing and asking the oracle. Hand in hand with each other, we can lear to visit, re-visit and work with that balance of Yin-Yang which is human life, longevity and mental health all in one.'When: Saturday May 5th, 10am-5pmCost: £45, or £25 for half day. 'Bring lunch to share'.Where: Nine Springs Natural Health Centre (where the author works as an acupuncturist),  70 Hendford, Yeovil BA20 1UR.'Ring Richard on 07941 319693 or book through the Centre.'(Anything that can be booked 'through the Centre' must be good, right?  )Last edited: Apr 2, 2012"
241,"Hi all-For the first time in ages I did a professional-type reading for someone I didn't know. to explore getting back into this. And I think I want to do that.I've decided to make the first three free (one down, two to go), just so I can get warmed up again, and then maybe for the first year charge a pretty minimal fee of US$ 25 for an hour.Readings will be done via Skype, face-to-virtual face.I can be  contacted through my website.Brad"
242,"Here:http://talks.cam.ac.uk/talk/index/37184If you're in/near Cambridge on May 2nd, this would be one to go to. And if you might be around on the 4th and 'enjoy reading Classical Chinese', let me know!"
243,"Just noticed - Harmen updated his site last month! (Congratulations, Harmen - it's very clear and elegant.)Here is a review of Balkin's Laws of Change - mostly in Dutch (Google translate will help), but with a brief email interview with Balkin in English at the end."
244,"From Mick Frankel, on Sunday 11th:Introduction to the I ChingDigbeth Court12 - 5pm£45Introduction to the I Ching with Mick Frankel.Learn about fundamental concepts of Yin and Yang.Discover the eight Trigrams: Find out how the Trigrams combine to give us the 64 hexagrams of the I Ching.Mick Frankel is a professional I Ching consultant, Astrologer and Tarot Reader.Click to expand...Information here:http://www.thezenshop.co.uk/courses...es-a-workshops/90-introduction-to-the-i-ching"
245,"He should have said ""I learned that the ancient Chinese..."" but what the heck, he does appears to have invented something. Says Kevin: ""I discovered that the ancient Chinese consulted their  ancestors rather than the stars to obtain guidance in their everyday  lives.""The ancient Shang Kings (1560-1027BC) regularly consulted the  oracle before making decisions – from planting crops to marriage and  waging wars.​"
246,"Hi everyone,I Stubled upon this the other day... Seams kind of interesting. Take a look and let me hear what you think of it.http://mfire.dk/?page_id=93Best regardssoga"
247,"Yijing, Shamanic Oracle of China: A New Book of ChangeJust received that book. ""A crouched dragon...""? Hmmm, that line in translation never gets old...  I scanned the Hex.1 as a sample. PDF here."
248,"Wow, I am humbled and flattered by Adele Aldridge. One never knows what a casual comment can do. The merit is all her's. I wish I had that artistic aptitude.A little over a year ago I posted a circular chart of the Hexagrams. I was inspired to do this by a comment Luis Andrade made regarding a question about the Hexagrams in a previous post. Well I have to thank Luis again. I received a request from Princeton University Press to include this chart in a book on math to be published in October, 2011. The book is by Persi Diaconis and Ron Graham, titled Magical Mathematics: Revealing the Secrets behind Great Card Tricks of the World. In this book, the authors include a section on the I Ching and its relation to mathematics.​"
249,"Hi all-It's been a busy year. As some of you know, the Yi is not a Daoist text, even though the Zhouyi mentions the term four times and the Wings are full of it. As fewer of you know, the Zhouyi was not founded on the principles of Yin and Yang. This is an article I just wrote, submitted in draft for any constructive critique that might come back. Working Title:The Other Original Dao: the Path, before Kongzi and Laozi Paved Ithttp://www.hermetica.info/OriginalDao.htmlIt aims to understand the idea of Dao way back at the time the Zhouyi was written."
250,"Well, this was unexpected but promoting a book takes some effort... "
251,Greetings to all online clarity uk i ching members in 2012 i will be typing up all of alex chiu's superiching examples my i ching zip folder is available 4all those who may want it. You say thats heavy spare time task to type all alex chiu examples but i will be doing it. Alex Chiu does have spelling errors he does name some hexagrams in his examples wrong eg consume does not exist its 63=need & sometimes 63 is actually hexagram 5. i am not frequent visitor to online clarity or post many threads due to being busy with spare time tasks. When thats done i ll do other i ching folders which i ll keep surprise for all when they 100% i will reveal+share what they about. Also trigrams are linked to directions+eg lake mountains=ken so when you do readings read text+moving line text+imagery. I find i ching fascinating. it ll take me most of 2012 to type all alex chiu examples when its 100% i ll post thread alerting all+offering it to all The book of changes by richard wilhelm will always be best i ching book of all time. alex chiu has faith in his ways etc but don t discard imagery text philosophy for alex chiu clinical logic take on i ching divination fortunetelling still requires intuition with tinge of emotion:bows:
252,Just wondering if anyone else had seen this.  It's about Richard Wilhelm and the I Ching. http://youtu.be/eKSNd4n5GqI
253,"Hi all.I'm announcing a new book: Gua Ming: The Yijing Hexagram Names.Is also free, too. And not as big as the others.It isn't quite done yet but the preview is online now athttp://www.hermetica.info/GuaMing.htmI've had most of the data complied for a long time now, since before the translation.Just never got around to entering the data. This will take a couple more weeks.Last edited: Oct 31, 2011"
254,"Is this the right place to post this? Probably not. Ah well, that's what we have moderators for, to know these things. Anyway... just updating the 'Directory of Yijing diviners' in the Friends' Area. This is a listing of people who offer in person, face-to-face Yijing readings (any method). If you have a listing in it that needs updating, or if you'd like to be added, please let me know.You'll find the current version at the foot of this page -http://www.onlineclarity.co.uk/members/begin.php- so you can copy the format for an entry from there."
255,"Last edited: Oct 16, 2011"
256,"Sparhawk pointed to this talk at Youtube - http://youtu.be/C_2ziJ_4BYQ - which turns out to be linked with a new book-in-progress. Here's the website:http://ichingandsociety.comIt includes sample translation and commentary for hexagrams 1 and 2 (no lines, he hasn't done changing lines yet, he's concentrating on the hexagrams first), and a new explanation of the Sequence. He's also inviting people to join a community to offer feedback on the book as it evolves, looking for different perspectives.At a first glance - I want to spend longer looking at this."
257,"Greetings everybody,Two years ago, we had a good discussion on the Yi-globe here. Since then, I have revised and completed the whole material and arranged it in a book form, in a pdf file (yiglobe.pdf, free download). If somebody would be interested in this new version, she/he will find it in the old site: www.i-ching.hu and click at the ’NEW VERSION’. The direct URL is: www.i-ching.hu/pdf/yiglobe.pdf.Still, I would call the attention to the chapter on the origin of the King Wen sequence. There, I have a new argument for my hypothesis and, I hope so,  the explanations are more readable.Joe--------------------The Yi-globe"
258,"Hi everybody.A handfull of us scowlers are putting together a rather ambitious, annotated,  bibliography of Yijing Studies (Yixue) in Western languages. So far it's just been myself, Luis Andrade and Richard Smith, but we're getting ready for more, as from the likes of Harmen. It's already way beyond the bibliography on my website, which ""only"" has a couple of hundred entries. We are compiling, at the same time, a digital library of mostly pdf files of books and articles, which already number more than 450.We offer this by way of soliciting input, corrections and further contributions.When it's ""done"" (though nothing to do with the Changes is ever) we'll do things like make the links active. Have fun. For now the italics got lost in the pasting, but they'll be back.http://www.hermetica.info/YixueBib.htm You can send corrections, additions and contributions tobradford@hermetica.info Please warn me and get a response if you're sending things over 2mb.Last edited: Jul 15, 2011"
259,Hello; I have made a .pdf version of the I Ching that prints as a booklet and fits in your pocket.  See what you think:www.russellcottrell.com/VirtualYarrowStalks/pocketIChingOracle.htm—Russell
260,"Only fourth pages, not a whole I Ching in comics. Since 2008 but a new for me.See here:http://grimaceworks.com/comics/i_chingCharly"
261,Hello; I have posted the Zhouyi text of the Takashima Ekidan in HTML format atrussellcottrell.com/VirtualYarrowStalks/TakashimaEkidan.htm—Russell
262,"Something didnt quite work.Will try again at later date.Last edited: Nov 20, 2010"
263,This - http://www.pushingupward.com/ - is apparently going to be 'a novel and film about the I Ching'. Sounds intriguing...
264,"I Ching Prescriptions are a different way of consulting the I Ching. The  traditional method for using the counsel of I Ching is by throwing  three coins six times or by dividing and counting yarrow stalks to  arrive at a hexagram for an answer to a question. This method of  allowing chance to provide an appropriate response to what is on your  mind at the time relies on a phenomenon that Carl Jung called  synchronicity.    Many people wonder how could anyone take seriously an  answer to a question arrived at by tossing coins and decide that the I  Ching is not for them. It doesn’t matter whether you believe in  synchronicity or not. It doesn’t matter if you want to take the time to  figure out the obscurity or understand the poetic symbolic language of  the I Ching. When people dismiss the I Ching because of the method of  relying on random chance they miss out on the philosophy that is  imbedded within the I Ching that originated over five thousands years of  Chinese culture. A philosophy that has survived for thousands of years  has a message worth pondering. Since the philosophy of I Ching is based  on nature and has lasted so many thousands of years and transferred over  many cultures, why not benefit from its wisdom whether you believe in  synchronicity or not? Find an I Ching Prescription for your need of the  moment.      "
265,"Harmen spotted this today: The Original I Ching: An Authentic Translation of the Book of Changes [Hardcover] by Margaret Pearson As many of you know, Margaret Pearson is a scholar and a really nice lady that has gracefully shared her knowledge here."
266,"not sure if this has been posted before, I just came across it . .I don't know about its divinatory value but I thought the poems were greathttp://www.levitated.net/exhibit/iching/images.html"
267,"Great new/old article by Steve Moore, re-published by Steve Marshall:Change in a parallel world"
268,"My dear friend, Ezequiel Saad, has published a new Yijing book in France and Spain. The books is bilingual (French/Spanish).Parution de « Deviner l’Inconscient » E. Saad Tobis, Deviner l’Inconscient, édition bilingue français – castillan, castellano – francés, Glose préliminaire: J. Zentner ; Postface: P. S. Naud. Paris - Barcelone 2009, Editions Punto ; 148 pages, illustré. Présentation Il existe un lien temporel entre les anciens Grecs et Chinois, mais on constate éga- lement un parallélisme d'intentions. En cette période du Ve siècle a. C., en Occident comme en Orient, une volonté de se distancier des origines divinatoires et magiques s’affirme pour faire place à la philosophie naissante, préambule à toute la connaissance psychologique ultérieure. Nous observons néanmoins que cette intuition divinatoire, utilisée avant que la philosophie n’existe, continue à imprégner les techniques psychologiques, et en particulier, psychanalytiques. En fait, mise à part la dose de philosophie nécessaire à l’intelligibilité des cas, le recours aux ressources de la perspicacité et de la déduction est toujours essentiel pour appréhender l’humain dans sa complexité.  Le nouveau livre d’E. Saad Tobis « Deviner l’Inconscient » résume la manière dont la sagesse chinoise parée du « Yi Jing », le Livre des Changements, et compénétrée des mathématiques, de la linguistique et de l'éthique prônée par Confucius, fait face à l'oracle de Delphes et au positionnement d'un Socrate. Ce livre retrace la manière dont ces piliers de la culture sont convoqués - directement ou indirectement - dans l'auscultation de l’Inconscient à des fins thérapeutiques. Il rapproche des connaissances qui semblent évidentes, mais dont les liens sont pourtant insuffisamment expliqués. Ce cheminement aboutit à un aspect de la destinée de l'analyse en Occident, qui pourrait bien devenir une forme d’arbitrage pour faire évoluer la sagesse héritée jusqu'à présent de la tradition - toutes origines confondues. Dans sa modernité, l'art de deviner consiste principalement à organiser stratégiquement l'information, avant qu'elle devienne la substance de l'interprétation et du diagnostic au sein de la cure. E. Saad Tobis Commandes disponibles dès maintenant par Internet à :   Consultpoint@aol.com  Prix 12  € + frais de port (en version papier).  E-Book (digital) : Prix 9  €« Adivinar el Inconsciente »  E. Saad Tobis, Adivinar el Inconsciente / Deviner l’ Inconscient, edición bilingüe castellano – francés, français – castillan, Glosa preliminar, J. Zentner; Posfacio, P. S. Naud, Barcelona – Paris 2009, Ediciones Punto, 148 paginas, ilustrado.Presentación del libro Hay un vínculo temporal entre los antiguos griegos y los antiguos chinos, y también (en los alrededores del siglo V a. C) un paralelismo de intenciones: haber decretado la separación de los orígenes adivinatorios y mágicos para dar lugar a la filosofía naciente, preámbulo a todo el conocimiento psicológico posterior. Desde entonces, se puede constatar que –aparte de la dosis de filosofía necesaria para la comprensión de los casos– la perspicacia y la deducción que aún son empleadas en las técnicas psicológicas, y en particular psicoanalíticas, se impregnan de esta intuición adivinatoria que se utilizó antes de que la filosofía existiera. El nuevo libro “Adivinar el Inconsciente” de E. Saad, resume cómo la sabiduría china – equipada con el “I Ching“, el Libro de los Cambios, y compenetrada de matemáticas, de lingüística y de la ética predicada por Confucius– hace frente al oráculo de Delfos y a la posición intelectual de un Socrates. Y también cómo los dos se convocan –directa o indirectamente– en la auscultación del Inconsciente con finalidades terapeúticas. Esto es algo que, por ser demasiado evidente, no se dice ni se explica suficientemente. Tampoco se dice que, en occidente, el análisis está destinado a convertirse en una forma de arbitraje, y que posee la disposición más adecuada para hacer evolucionar la sabiduría que ha sido heredada hasta ahora de la tradición, sin distinción de orígenes. Principalmente, cuenta con el arte de conjeturar moderno, que consiste en organizar estratégicamente la información antes de que sea material para la interpretación, el diagnóstico o la cura.​"
269,"My friend Ezequiel Saad is featuring a new consulting website, EST Constulting. Bear in mind that, more of a Yi reader, he runs a successful business coaching service using lessons from the Yijing, with an impressive list of clients. Ezequiel lives in Barcelona and Paris."
270,"Towards the end of his most recent 'journal' article is this tantalising little note:Then, a book I am still working on, a fresh translation of the Yijing together with my own commentary aimed at practical divination and advanced study.Click to expand...Sounds like something I wouldn't mind reading...There's a link to sign up for a mailing list at the publishers to be kept posted."
271,"From a Yahoo list:I am very pleased to report that the full recording of my CD2 I Ching Arpeggios (all 158 minutes) will be heard on the radio ""Komodo Dragon Show"" Wednesday, February 16th. The program airs from 8-11am CT on CJUM 101.5 in Winnipeg, and www.umfm.comonlineRichard O. BurdickFirst Horn Regina SymphonyComposerI Ching Musicwww.horn.proP. S. Major changes have taken place on my publishing web site,with a number of new free audio files posted.www.i-ching-music.comsee the news list.Click to expand..."
272,I Ching as the Model of the Psyche 
273,"Cool project to follow for a year... 2011: a year with i ching - January 1st, 2011 "
274,"For all those phones running Windows Phone 7, here is a new app by ILA. Donation-ware on top of it.http://www.desertisland.it/WP7/iching/"
275,Hello all!Very pleased to be among you! I am looking for a Russian or Georgian translation of the Richard Wilhelm I Ching to share with a Georgian man and friend of mine.Does anyone know if such a translation exists? And where I may be able to get hold of a copy? My search has as yet been unfruitful but I have not yet given up hope!Thanks in advance for any leads!Lucy
276,Interesting page I found today:Physiognomic system of I ChingCheck the 64 faces associated with each hexagram.
